source,candidate_id,epoch_label,filter,filename,mjd,detector,clean_snr_err,raw_snr_err,raw_snr_emp,pixel_scale_mas,method_sep_2dg_com_mas,registration_shift_2dg_mas,registration_shift_com_mas,catalog_offset_2dg_mas,catalog_offset_com_mas,registration_scatter_east_mas,registration_scatter_north_mas,eligible_snr3,method_sensitive_at_tolerance,registration_sensitive_at_tolerance
REMAINING_45,373110,early,F444W,jw01727129001_04101_00002_nrcalong_cal.fits,60045.79731466435,NRCALONG,,-0.5412617576668327,-0.6885421814636632,64.3136552146407,205.8086408911725,,,270.61834323956754,216.67145270576526,,,False,False,False
REMAINING_45,373110,late,F410M,jw06434303001_06201_00001_nrcalong_cal.fits,60773.707889212965,NRCALONG,-1.4965335979149892,-1.7454748784152871,-1.0505839093788656,62.97782726617413,428.363045302833,,,383.1852594548237,62.497737017020704,,,False,False,False
REMAINING_45,373110,late,F410M,jw06434303001_06201_00002_nrcalong_cal.fits,60773.71509734954,NRCALONG,0.4583268195091908,-0.3826704110093396,-0.2578583882382303,62.96550208259792,,,,,56.5401721609444,,,False,False,False
REMAINING_45,373110,late,F410M,jw06434303001_06201_00003_nrcalong_cal.fits,60773.72218030092,NRCALONG,2.3172059805486827,2.0223396992052214,0.9749317084058782,62.975366027925865,,,,,26.99122039751431,,,False,False,False
REMAINING_45,373110,late,F410M,jw06434303001_06201_00004_nrcalong_cal.fits,60773.729387708336,NRCALONG,-1.7117840269679068,-0.452227873537149,-0.3060596724011561,62.967972290477775,232.5535815900161,,,194.99115883932706,59.59341907246357,,,False,False,False
REMAINING_45,419037,early,F444W,jw01727096001_04101_00003_nrcalong_cal.fits,60043.53304608796,NRCALONG,-1.1178918785213126,-0.9867683608672936,-0.8142249729507345,63.01620424571226,,,,,49.32965684427678,,,False,False,False
REMAINING_45,419037,early,F444W,jw01727096001_04101_00004_nrcalong_cal.fits,60043.53702238426,NRCALONG,,,,63.10086620610439,,,,,191.68407521522582,,,False,False,False
REMAINING_45,419037,late,F410M,jw06434316001_06201_00001_nrcblong_cal.fits,60774.138708784725,NRCBLONG,-1.5986689694432326,-1.934803808238968,-1.1747370728679738,63.66718655571168,,,,,67.22167288133943,,,False,False,False
REMAINING_45,419037,late,F410M,jw06434316001_06201_00002_nrcblong_cal.fits,60774.15473914352,NRCBLONG,-3.369619248127988,-3.939560875528008,-3.3174873249699885,63.6044563697054,156.02052427294717,,,70.98543542790058,88.92857779632882,,,False,False,False
REMAINING_45,419038,early,F444W,jw01727096001_04101_00003_nrcalong_cal.fits,60043.53304608796,NRCALONG,0.7748429265066156,0.9394328881692096,0.7445605890523278,63.01464845776545,,,,,13.335004015681278,,,False,False,False
REMAINING_45,419038,early,F444W,jw01727096001_04101_00004_nrcalong_cal.fits,60043.53702238426,NRCALONG,,-1.4182328140149534,-0.9748691130862766,63.099257606966496,73.18514917106117,,,132.43967386196755,80.31477831972494,,,False,False,False
REMAINING_45,419038,late,F410M,jw06434316001_06201_00001_nrcblong_cal.fits,60774.138708784725,NRCBLONG,-2.30203533335028,-2.645695037868454,-1.4330309376377075,63.665467173770566,,,,,76.15473525782546,,,False,False,False
REMAINING_45,419038,late,F410M,jw06434316001_06201_00002_nrcblong_cal.fits,60774.15473914352,NRCBLONG,-1.148423019735366,-1.1504021295441524,-0.7676570560930448,63.602027508853645,197.12075884836477,,,170.7779726452201,41.24506117491014,,,False,False,False
REMAINING_45,483376,early,F444W,jw01727092001_04101_00003_nrcalong_cal.fits,60043.35567292824,NRCALONG,,,,62.3850759831321,264.99282917725924,,,350.9150211267411,86.42335644073982,,,False,False,False
REMAINING_45,483376,early,F444W,jw01727092001_04101_00004_nrcalong_cal.fits,60043.35964922453,NRCALONG,-0.6160048397497748,-0.6160048397497748,-0.4768591315689758,62.43274775370834,,,,,33.89336906939449,,,False,False,False
REMAINING_45,483376,late,F356W,jw05893006002_03101_00001_nrcalong_cal.fits,60804.25331829861,NRCALONG,0.2917829741719555,-0.2171672394729294,-0.2058031018910978,63.33698904090502,237.0832303462279,,,258.0356631262934,21.01419934954509,,,False,False,False
REMAINING_45,483376,late,F356W,jw05893006002_05101_00002_nrcalong_cal.fits,60804.26475162037,NRCALONG,0.251579201869198,0.3925500455150177,0.2338084578307871,63.28440888019806,,,,,37.75084626995892,,,False,False,False
REMAINING_45,502704,early,F444W,jw01727103001_04101_00003_nrcalong_cal.fits,60044.63009835648,NRCALONG,-0.5607791012326205,0.8852595993208806,0.9021122391516764,62.497436083183466,,,,,27.947397527786443,,,False,False,False
REMAINING_45,502704,early,F444W,jw01727103001_04101_00004_nrcalong_cal.fits,60044.6340746412,NRCALONG,,,,62.55206922504213,,,,,,,,False,False,False
REMAINING_45,502704,late,F356W,jw05893008005_03101_00001_nrcblong_cal.fits,60808.84703927083,NRCBLONG,-0.4593868277236573,-0.2822013555719481,-0.1934606958721427,63.36441639104584,,,,,17.21083628720707,,,False,False,False
REMAINING_45,502704,late,F356W,jw05893008005_05101_00001_nrcblong_cal.fits,60808.85387407408,NRCBLONG,1.034545528068334,1.0709373670873528,0.987087651384552,63.44387542643666,,,,,49.80238116211805,,,False,False,False
REMAINING_45,502704,late,F356W,jw05893008005_05101_00002_nrcblong_cal.fits,60808.8585962963,NRCBLONG,-1.540984256928297,-1.401846770060522,-1.368509142306817,63.2861791712905,,,,,80.92578440972494,,,False,False,False
REMAINING_45,547749,early,F356W,jw05893001001_03101_00001_nrcblong_cal.fits,60791.68710052083,NRCBLONG,1.5100785132159578,1.5938034797531002,1.2790477513153873,63.23556138153351,,,,,28.42889754783317,,,False,False,False
REMAINING_45,547749,early,F356W,jw05893001001_05101_00001_nrcblong_cal.fits,60791.69393532408,NRCBLONG,-1.2346609719158212,-1.502198621936884,-1.1897536950305032,63.29964995133929,,,,,69.03542167103365,,,False,False,False
REMAINING_45,547749,early,F356W,jw05893001001_05101_00002_nrcblong_cal.fits,60791.69853310185,NRCBLONG,-0.5200936541313811,-0.4790197793550204,-0.3077779525042398,63.166878775782514,,,,,27.184767060181564,,,False,False,False
REMAINING_45,547749,late,F356W,jw05893023001_03101_00001_nrcblong_cal.fits,61184.88627319445,NRCBLONG,0.4532404239793542,0.6059193414977,0.460431705936517,63.23497748722396,,,,,51.5142930275329,,,False,False,False
REMAINING_45,547749,late,F356W,jw05893023001_05101_00001_nrcblong_cal.fits,61184.892983564816,NRCBLONG,0.6758871024686862,0.6844372693671664,0.401176826064466,63.29907437323278,,,,,22.646070175068246,,,False,False,False
REMAINING_45,547749,late,F356W,jw05893023001_05101_00002_nrcblong_cal.fits,61184.89770578704,NRCBLONG,1.0619140123239312,1.0863755392552918,0.816636152848939,63.16631401172808,,,,,61.06472920866855,,,False,False,False
REMAINING_45,594351,early,F444W,jw01727105001_04101_00003_nrcblong_cal.fits,60044.7354397338,NRCBLONG,1.036243895177982,1.036243895177982,0.8086501206699652,63.57915304812166,,,,,15.52938808181408,,,False,False,False
REMAINING_45,594351,early,F444W,jw01727105001_04101_00004_nrcblong_cal.fits,60044.73941603009,NRCBLONG,,,,63.6701968183505,,,,,184.97034159777823,,,False,False,False
REMAINING_45,594351,late,F356W,jw05893012008_03101_00001_nrcalong_cal.fits,60817.52131121528,NRCALONG,-0.8983600993260756,-1.1920564836427563,-0.9576757716154124,62.62705883824028,125.12062610732949,,,95.86375157910969,29.82520976570106,,,False,False,False
REMAINING_45,594351,late,F356W,jw05893012008_05101_00001_nrcalong_cal.fits,60817.52814601852,NRCALONG,-0.4028581955381946,-0.4194942471335933,-0.3048386598257324,62.49963130714737,,,,,56.54981929222999,,,False,False,False
REMAINING_45,594351,late,F356W,jw05893012008_05101_00002_nrcalong_cal.fits,60817.53286824074,NRCALONG,1.1170600507449593,1.1241989001345305,0.7057134006575435,62.67771215154308,,,,,61.18880661716377,,,False,False,False
REMAINING_45,76569,early,F444W,jw01727148001_04101_00001_nrcblong_cal.fits,60048.21807822917,NRCBLONG,,1.4899547301521094,2.00235075658332,63.63730572787297,86.95634281619817,,,129.24554933301607,212.1461676480342,,,False,False,False
REMAINING_45,76569,early,F444W,jw01727148001_04101_00002_nrcblong_cal.fits,60048.22205526621,NRCBLONG,2.364681566586902,1.9700346354355984,1.5343475942102929,63.53160979929747,,,,,18.53445669356387,,,False,False,False
REMAINING_45,76569,late,F360M,jw06480017001_03104_00001_nrcalong_cal.fits,60772.78517592593,NRCALONG,-0.4117542251474652,-0.2472999374524928,-0.1601165437909221,63.20184450327625,,,,,80.6628226181752,,,False,False,False
REMAINING_45,787565,early,F444W,jw01727164001_05101_00001_nrcalong_cal.fits,60406.6577037963,NRCALONG,,,,63.10105227739152,79.69871919695514,,,88.9179187289801,9.21944721511317,,,False,False,False
REMAINING_45,787565,early,F444W,jw01727164001_05101_00002_nrcalong_cal.fits,60406.66168082176,NRCALONG,-1.3759796952504488,-1.3935211372958172,-1.156485347345172,63.02176397142081,176.69321544592395,,,204.10552631030944,33.28052934938898,,,False,False,False
REMAINING_45,787565,late,F356W,jw05893012004_03101_00001_nrcblong_cal.fits,60812.562598275465,NRCBLONG,-1.6743381440475122,-1.8313570954676348,-1.2576906497585736,63.91539723475566,149.41931114624015,,,145.16727830719404,85.24714213291995,,,False,False,False
REMAINING_45,787565,late,F356W,jw05893012004_05101_00001_nrcblong_cal.fits,60812.56943309028,NRCBLONG,0.5339743279937814,0.5339743279937814,0.4383691568104248,63.87233598992098,,,,,67.87640364274893,,,False,False,False
REMAINING_45,787565,late,F356W,jw05893012004_05101_00002_nrcblong_cal.fits,60812.57415530093,NRCBLONG,-0.2778026013344685,-0.1795118493054641,-0.13134852086737,63.8814728628674,,,,,29.751914965338177,,,False,False,False
REMAINING_45,833379,early,F444W,jw01727091001_04101_00003_nrcblong_cal.fits,60049.29578587963,NRCBLONG,0.0431345351563341,0.056089213286604,0.0435731458318118,63.420173052788826,,,,,19.416093326903976,,,False,False,False
REMAINING_45,833379,early,F444W,jw01727091001_04101_00004_nrcblong_cal.fits,60049.29976291666,NRCBLONG,,1.5965268844978304,0.6371607592441182,63.50585527529983,,,,,184.70707350720704,,,False,False,False
REMAINING_45,833379,late,F356W,jw05893010003_03101_00001_nrcalong_cal.fits,60783.998718993054,NRCALONG,2.776415577023427,2.5953421379401176,1.7769230875788442,62.82230236020898,,,,,58.92346859217609,,,False,False,False
REMAINING_45,833379,late,F356W,jw05893010003_05101_00001_nrcalong_cal.fits,60784.005429363424,NRCALONG,0.2477697669549069,0.5890610387583538,0.4156092037042194,62.69883262690034,,,,,56.436260748395114,,,False,False,False
REMAINING_45,833379,late,F356W,jw05893010003_05101_00002_nrcalong_cal.fits,60784.01027601852,NRCALONG,0.183553559805726,0.2962461709124942,0.240623686804277,62.85972301294207,,,,,45.33855689355266,,,False,False,False
REMAINING_45,835615,early,F444W,jw01727066001_04101_00003_nrcblong_cal.fits,60315.26768207176,NRCBLONG,,4.359850659625731,2.94409434465142,63.29480044583402,,,,,223.058428487468,,,False,False,False
REMAINING_45,835615,early,F444W,jw01727066001_04101_00004_nrcblong_cal.fits,60315.271782800926,NRCBLONG,-3.033271006574569,-3.033271006574569,-2.9474944400005096,63.37753518487364,,,,,166.8861696378361,,,False,False,False
REMAINING_45,835615,late,F356W,jw05893016008_05101_00002_nrcalong_cal.fits,60812.79928248843,NRCALONG,-0.5821001813115493,-0.4193382242674947,-0.3816950491144027,63.71486767348517,,,,,175.7564446315494,,,False,False,False
REMAINING_45,835615,late,F356W,jw05893012005_03101_00001_nrcblong_cal.fits,60817.40062836806,NRCBLONG,-2.2498282716285773,-2.190308687180917,-2.2020263366404977,63.819475696145325,,,,,165.18484013340125,,,False,False,False
REMAINING_45,835615,late,F356W,jw05893012005_05101_00001_nrcblong_cal.fits,60817.40746318287,NRCBLONG,-1.6107779761939522,-1.436262446509558,-1.4139443041484223,63.75751637918967,,,,,238.45782234755575,,,False,False,False
REMAINING_45,835615,late,F356W,jw05893012005_05101_00002_nrcblong_cal.fits,60817.41218539352,NRCBLONG,-2.983921654040923,-2.964030858751144,-2.324895034662807,63.79652966127438,,,,,238.60079205256554,,,False,False,False
REMAINING_45,847758,early,F444W,jw01727155001_02101_00001_nrcblong_cal.fits,60294.63528074074,NRCBLONG,0.8350132373173083,-1.3580607406001015,-1.6319590113280935,63.65789092769271,,,,,48.46903441882204,,,False,False,False
REMAINING_45,847758,early,F444W,jw01727155001_02101_00002_nrcblong_cal.fits,60294.639257766205,NRCBLONG,,43.21281434662932,49.48959219898448,63.553407605222205,,,,,273.7199397427501,,,False,False,False
REMAINING_45,847758,late,F356W,jw05893005001_03101_00001_nrcblong_cal.fits,60802.34659829861,NRCBLONG,2.2899232576498982,2.397605916421309,1.7844611508962618,64.051837947209,,,,,47.490718903736955,,,False,False,False
REMAINING_45,847758,late,F356W,jw05893005001_05101_00001_nrcblong_cal.fits,60802.35343311343,NRCBLONG,-2.0352884379635943,-1.9910454058540292,-1.7350499464952551,64.093012549956,,,,,30.843324993923815,,,False,False,False
REMAINING_45,847758,late,F356W,jw05893005001_05101_00002_nrcblong_cal.fits,60802.35815532407,NRCBLONG,0.3504745700614935,0.8624110801757344,0.4932122044511247,63.97622553001794,,,,,31.114945025786547,,,False,False,False
REMAINING_45,847758,late,F356W,jw05893005004_05101_00002_nrcblong_cal.fits,60803.177935127314,NRCBLONG,-2.0678093840707223,-2.0678093840707223,-0.6325326097900441,62.39903753485849,,,,,276.7308289620713,,,False,False,False
REFERENCE_282040,282040,reference,F444W,jw01727139001_04101_00001_nrcblong_cal.fits,60046.16372912037,NRCBLONG,9.136403689519335,9.136403689519335,,,14.606414737751576,,,,,,,True,False,False
REFERENCE_282040,282040,reference,F444W,jw01727139001_04101_00002_nrcblong_cal.fits,60046.16782986111,NRCBLONG,9.246301660830344,9.246301660830344,,,50.147610586553235,,,,,,,True,False,False
REFERENCE_282040,282040,reference,F444W,jw01727139001_04101_00003_nrcblong_cal.fits,60046.17441652778,NRCBLONG,10.825280308589743,10.825280308589743,,,15.830709781977271,,,,,,,True,False,False
REFERENCE_282040,282040,reference,F444W,jw01727139001_04101_00004_nrcblong_cal.fits,60046.17851725694,NRCBLONG,10.206546163276608,10.206546163276608,,,7.7774251021521845,,,,,,,True,False,False
REFERENCE_282040,282040,reference,F410M,jw06434296001_06201_00001_nrcalong_cal.fits,60773.6100974537,NRCALONG,8.327997128765993,8.327997128765993,,,50.44274257279721,,,,,,,True,False,False
REFERENCE_282040,282040,reference,F410M,jw06434296001_06201_00002_nrcalong_cal.fits,60773.61718040509,NRCALONG,11.62563809425533,11.62563809425533,,,83.0286278131476,,,,,,,True,True,False
