tolerance_mas,method_fraction_within,registration_fraction_within,method_comparable_rows,registration_comparable_rows
20.0,0.42857142857142855,,7,0
30.0,0.42857142857142855,,7,0
40.0,0.42857142857142855,,7,0
50.0,0.42857142857142855,,7,0
60.0,0.7142857142857143,,7,0
80.0,0.7142857142857143,,7,0
100.0,0.8571428571428571,,7,0
