tolerance_mas,eligible_snr3_rows,eligible_candidates,method_comparable_rows,method_rows_over_tolerance,method_fraction_within_tolerance,method_sep_p50_mas,method_sep_p90_mas,method_sep_p95_mas,method_sep_p99_mas,method_sep_max_mas,registration_comparable_rows,registration_rows_over_tolerance,registration_fraction_within_tolerance,registration_shift_p50_mas,registration_shift_p90_mas,registration_shift_p95_mas,registration_shift_p99_mas,registration_shift_max_mas,assessment,source
60.0,6,1,6,1,0.8333333333333334,32.98916018426525,66.7356851929724,74.88215650306,81.39933355113008,83.0286278131476,0,0,,,,,,,60MAS_METHOD_OR_FRAME_SENSITIVITY_DETECTED,REFERENCE_282040
60.0,6,3,4,3,0.25,87.32491132252406,109.12012202002853,112.28801306325832,114.82232589784215,115.4559041064881,3,0,1.0,20.438030187252167,29.424687823280994,30.548020027784595,31.44668579138748,31.6713522322882,60MAS_METHOD_OR_FRAME_SENSITIVITY_DETECTED,REMAINING_45
