candidate_id,candidate_ra_deg,candidate_dec_deg,obs_collection,obsid,obs_id,instrument_name,filters,filter_norm,t_min,t_max,t_exptime,proposal_id,target_name,calib_level,dataRights,distance
490940,150.206545630103,2.38924670272441,JWST,368593390,jw05893-o019_t019_nircam_clear-f356w,NIRCAM/IMAGE,F356W,F356W,61022.688116087964,61023.09587131944,7472.784,5893,C3D-19_CWEBTILE-1-10,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,400162957,jw07814-o003_t003_miri_f1280w,MIRI/IMAGE,F1280W,,61178.57291577546,61185.958560046296,46753.920000000035,7814,COSMOS-1,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,400107185,jw07814-o003_t003_miri_f1500w,MIRI/IMAGE,F1500W,,61178.60798981482,61185.99299186342,46753.920000000035,7814,COSMOS-1,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,373041156,jw07814-o004_t004_nircam_clear-f140m,NIRCAM/IMAGE,F140M,F140M,61038.73517587963,61044.97087611111,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372913890,jw07814-o004_t004_nircam_clear-f182m,NIRCAM/IMAGE,F182M,F182M,61038.7704684375,61045.005919780095,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372967117,jw07814-o004_t004_nircam_clear-f210m,NIRCAM/IMAGE,F210M,F210M,61038.78749287037,61045.02294495371,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372629806,jw07814-o004_t004_nircam_clear-f250m,NIRCAM/IMAGE,F250M,F250M,61038.73517587963,61044.97087611111,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372630449,jw07814-o004_t004_nircam_clear-f300m,NIRCAM/IMAGE,F300M,F300M,61038.75282253472,61044.988397581015,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372629438,jw07814-o004_t004_nircam_clear-f360m,NIRCAM/IMAGE,F360M,F360M,61038.7704684375,61045.005919780095,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,372523830,jw07814-o004_t004_nircam_clear-f460m,NIRCAM/IMAGE,F460M,F460M,61038.78749361111,61045.02294495371,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,373039218,jw07814-o004_t004_nircam_f150w2-f162m,NIRCAM/IMAGE,F150W2;F162M,F150W,61038.75282179398,61044.98839832176,22418.352000000035,7814,COSMOS-2,3,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,266463405,jw07814003020_xx103_00003_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,266463412,jw07814003020_xx106_00003_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,266463417,jw07814003020_xx109_00003_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,266463421,jw07814003020_xx10c_00003_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,368009312,jw09289049001_01204_00001_nrs1,NIRSPEC,OPAQUE;G140H,,61022.01398476852,61022.01651755787,204.244,9289,UNKNOWN,2,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,368009282,jw09289049001_01205_00001_nrs1,NIRSPEC,OPAQUE;G140H,,61022.019318101855,61022.0218508912,204.244,9289,UNKNOWN,2,PUBLIC,0.0
490940,150.206545630103,2.38924670272441,JWST,250361120,jw07814003020_xx101_00001_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,1.0774561934001885
490940,150.206545630103,2.38924670272441,JWST,266463407,jw07814003020_xx104_00001_miri,MIRI/IMAGE,F1280W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,1.0774561934001885
490940,150.206545630103,2.38924670272441,JWST,250361126,jw07814003020_xx107_00001_miri,MIRI/IMAGE,F1500W,,,,321.905,7814,COSMOS-1,-1,PUBLIC,1.0774561934001885
