filename,reference_file,current_control_index,reference_control_index,used,resid_east_arcsec,resid_north_arcsec
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,2,3,True,0.0022984836899091476,0.001176897277390232
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,17,16,True,-0.0009890261999387917,0.009855307292357396
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,0,0,True,0.0027272073654467377,0.01275081506460829
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,6,6,True,0.0002024240636657737,-0.0023529844308525782
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,12,12,True,-0.004141437394788561,-0.00048621787028757524
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,11,11,True,-0.0009250257141564244,0.0018712032929011357
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,3,2,True,-0.0061725046678047235,0.004365152478670531
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,9,8,True,0.00024342263724097535,-0.00861095985791438
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,7,7,True,-0.0052945376984219195,-0.009721210860328178
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,15,15,True,-0.008469983887742005,-0.003939289994071338
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,13,13,True,-0.011859438576838244,-0.0003798007583464269
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,10,9,True,-0.013506445121956645,0.0066855924715341075
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,4,4,True,-0.008541441374385172,-0.014891756389224575
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,1,1,True,0.005386481208065064,0.022280678515016028
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,8,5,True,0.011919019575821421,-0.018463089925726095
jw05893020007_03101_00001_nrcblong_cal.fits,jw01727032001_04101_00002_nrcblong_cal.fits,14,14,True,0.037122802095892915,-0.00014033630572196643
