pair_id,status,pair_type,filter_early,filter_late,baseline_days_inventory,pair_filter_cost
F444W_epoch_000__F444W_epoch_001,PAIR_FOUND,SAME_FILTER_JWST,F444W,F444W,232.83197660879523,-928.0
F277W_epoch_000__F277W_epoch_001,PAIR_FOUND,SAME_FILTER_JWST,F277W,F277W,232.83210105324542,2356.0
F150W_epoch_000__F150W_epoch_001,PAIR_FOUND,SAME_FILTER_JWST,F150W,F150W,232.83197734953865,4878.0
F115W_epoch_000__F115W_epoch_001,PAIR_FOUND,SAME_FILTER_JWST,F115W,F115W,232.83210105324542,5572.0
F277W_epoch_000__F444W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F444W,232.85620917824417,1714.0
F444W_epoch_000__F277W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F277W,232.80786848379648,1714.0
F150W_epoch_000__F444W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F444W,232.83197734953865,2975.0
F444W_epoch_000__F150W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F150W,232.83197660879523,2975.0
F115W_epoch_000__F444W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F444W,232.85620917824417,3322.0
F444W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F115W,232.80786848379648,3322.0
F277W_epoch_000__F150W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F150W,232.85620917824417,4617.0
F150W_epoch_000__F277W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F277W,232.8078692245399,4617.0
F115W_epoch_000__F277W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F277W,232.83210105324542,4964.0
F277W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F115W,232.83210105324542,4964.0
F115W_epoch_000__F150W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F150W,232.85620917824417,6225.0
F150W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F115W,232.8078692245399,6225.0
