pair_id,status,pair_type,filter_early,filter_late,baseline_days_inventory,pair_filter_cost
F444W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F356W,758.1800558101822,908.0
F444W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F200W,758.0478806192186,2487.0
F277W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F356W,758.2040402314815,2550.0
F444W_epoch_000__F090W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F090W,758.153834351855,3574.0
F444W_epoch_000__F070W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F070W,758.1800550694461,3772.0
F150W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F356W,758.1800565509257,3811.0
F277W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F200W,758.0718650405179,4129.0
F115W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F356W,758.2040402314815,4158.0
F277W_epoch_000__F090W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F090W,758.1778187731543,5216.0
F150W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F200W,758.047881359962,5390.0
F277W_epoch_000__F070W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F070W,758.2040394907453,5414.0
F115W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F200W,758.0718650405179,5737.0
F150W_epoch_000__F090W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F090W,758.1538350925985,6477.0
F150W_epoch_000__F070W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F070W,758.1800558101895,6675.0
F115W_epoch_000__F090W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F090W,758.1778187731543,6824.0
F115W_epoch_000__F070W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F070W,758.2040394907453,7022.0
