candidate_id,epoch_label,filter,filename,dataURI,mjd,detector,x_full,y_full,raw_flux,raw_fluxerr,raw_snr_err,empirical_ap_sigma,raw_snr_emp,n_blank_apertures,clean_flux,clean_fluxerr,clean_snr_err,x_2dg,y_2dg,x_com,y_com,sigma_x_pix,sigma_y_pix,n_mc_good,pixel_scale_mas,east_2dg_arcsec_raw_wcs,north_2dg_arcsec_raw_wcs,east_com_arcsec_raw_wcs,north_com_arcsec_raw_wcs,dq_or_r4,dq_center,dq_do_not_use,dq_saturated,dq_jump_det,dq_outlier,epoch_mjd_inventory,filter_inventory
575676,epoch_001,F115W,jw01727079001_02101_00002_nrcb1_cal.fits,mast:JWST/product/jw01727079001_02101_00002_nrcb1_cal.fits,60041.38750975695,NRCB1,1318.7299131703223,1651.1884731503035,0.6457835361361504,0.41124651383877,1.5703076242716336,0.6004968332111835,1.0754153900908923,60,0.6626354530453682,0.41124651383877,1.6112852771930262,,,199.3891245430332,200.34515632635436,,,0,30.649438128257515,,,0.0014433053655953756,-0.011383651080239561,0,0,False,False,False,False,60041.383533472224,F115W
575676,epoch_001,F115W,jw01727079001_02101_00001_nrcb1_cal.fits,mast:JWST/product/jw01727079001_02101_00001_nrcb1_cal.fits,60041.383533472224,NRCB1,1323.820976432998,1455.7212615565102,0.8377842530608177,0.4095834452290344,2.0454543825430695,0.43440440631397065,1.9285813884109173,60,0.8377842530608177,0.4095834452290344,2.0454543825430695,,,200.21229941207457,198.70850941939685,,,0,30.677044220751092,,,-0.026062709638947794,0.0207550139074913,0,0,False,False,False,False,60041.383533472224,F115W
575676,epoch_002,F115W,jw05893009007_03101_00001_nrcb3_cal.fits,mast:JWST/product/jw05893009007_03101_00001_nrcb3_cal.fits,60812.90477869213,NRCB3,1617.7959017009468,1504.4330169217126,-0.7174376547336578,0.30778563634836853,-2.3309653538270476,0.524824154175818,-1.3670057847476922,60,-0.7342283427715302,0.30778563634836853,-2.385518542978694,194.14694590737903,196.3881041402704,200.82623925334374,200.99893577509158,1.417764062986547,1.257830065391964,19,30.742939353183683,-0.17578838134517374,-0.12121176790768781,0.02707695624550897,0.023890140730415184,4,0,False,False,True,False,60812.90477869213,F115W
575676,epoch_002,F115W,jw05893009007_05101_00001_nrcb3_cal.fits,mast:JWST/product/jw05893009007_05101_00001_nrcb3_cal.fits,60812.91161349537,NRCB3,1094.1040817408054,1574.1456821914012,-0.6519168047234416,0.3450106091829161,-1.8895558205220624,0.4717585861422121,-1.3818864645463402,60,-0.23253387212753296,0.28426434627986935,-0.8180198296785144,198.0078134035798,195.6240532184706,201.27328179918678,200.8895871555015,1.178738686906327,0.4608578277386726,18,30.77988448168616,-0.152914369421896,-0.01409863566601601,0.03362414263823667,0.02619470436968508,4,0,False,False,True,False,60812.90477869213,F115W
575676,epoch_002,F115W,jw05893009007_05101_00002_nrcb3_cal.fits,mast:JWST/product/jw05893009007_05101_00002_nrcb3_cal.fits,60812.91633571759,NRCB3,1876.1484915360181,1578.6970053516486,0.07866165041923523,0.3260319319570123,0.24126977362943353,0.4056906765818596,0.19389563270715937,60,-0.11551199853420258,0.3260319319570123,-0.354296580217894,,,200.09331213556905,200.22332159812487,,,0,30.714442477384218,,,0.014668423569768508,-0.007068592035645366,0,0,False,False,False,False,60812.90477869213,F115W
575676,epoch_002,F115W,jw05893009006_03101_00001_nrca4_cal.fits,mast:JWST/product/jw05893009006_03101_00001_nrca4_cal.fits,60813.01634353009,NRCA4,1423.892788946266,1505.8393729564518,-0.17793461680412292,0.2653107722477241,-0.6706648783864044,0.35389703231602904,-0.5027864055249489,60,-0.17896217107772827,0.2653107722477241,-0.6745378996923238,,,199.14629975958218,199.97630391336182,,,0,30.880718689628672,,,-0.004003815846856221,-0.02306511923503195,0,0,False,False,False,False,60812.90477869213,F115W
575676,epoch_003,F150W,jw01727079001_04101_00001_nrcb1_cal.fits,mast:JWST/product/jw01727079001_04101_00001_nrcb1_cal.fits,60041.40764159722,NRCB1,1323.8159096916324,1455.6922526062422,-0.12250964343547821,0.31757788205712195,-0.38576251797485916,0.3468489626660943,-0.35320746671344727,60,-0.09554839134216309,0.31757788205712195,-0.3008660134743799,,,200.6180323651517,200.4066360627115,,,0,30.677248133346914,,,0.028352434358527193,0.016850591042150757,0,0,False,False,False,False,60041.40764159722,F150W
575676,epoch_003,F150W,jw01727079001_04101_00002_nrcb1_cal.fits,mast:JWST/product/jw01727079001_04101_00002_nrcb1_cal.fits,60041.411617881946,NRCB1,1318.7370003672686,1651.1616792178263,0.07622173428535461,0.31256911390099545,0.24385561751151597,0.44831863352358337,0.17001687769764548,60,0.07622173428535461,0.31256911390099545,0.24385561751151597,,,199.5929961413455,200.18511063790797,,,0,30.649973597039903,,,-0.0006422891306836775,-0.0044164219236435135,0,0,False,False,False,False,60041.40764159722,F150W
575676,epoch_004,F200W,jw05893009007_02101_00001_nrcb3_cal.fits,mast:JWST/product/jw05893009007_02101_00001_nrcb3_cal.fits,60812.87396019676,NRCB3,1194.5422933327663,1826.7298016082352,0.1282123476266861,0.20809944983846757,0.6161109398713356,0.3068001238748431,0.4179018769855171,60,0.1282123476266861,0.20809944983846757,0.6161109398713356,,,200.6102906093105,200.78379023166025,,,0,30.73771879168973,,,0.04153681235179697,0.020019105390367702,0,0,False,False,False,False,60812.87396019676,F200W
575676,epoch_004,F200W,jw05893009007_02101_00003_nrcb3_cal.fits,mast:JWST/product/jw05893009007_02101_00003_nrcb3_cal.fits,60812.88328018518,NRCB3,1387.5321588538864,1637.2134076924265,-0.10384812951087952,0.20491523659309632,-0.5067857873208936,0.27238038906455037,-0.3812614038313491,60,-0.10384812951087952,0.20491523659309632,-0.5067857873208936,198.60368832889898,202.33677952285922,200.1265118374321,199.48038124965333,0.9123281038202915,1.0091850642398905,20,30.74511344990954,0.05203538372759151,-0.04879265249063834,-0.01514614707107871,0.024759939539567552,0,0,False,False,False,False,60812.87396019676,F200W
