intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,wave_min,wave_max,distance,candidate_id,candidate_ra_deg,candidate_dec_deg,filter_norm,t_min_numeric
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-5-0,,jw01727-o078_t006_nircam_clear-f115w,149.76234416666665,2.184813888888889,image,"Kartaltepe, Jeyhan",3,60041.329683888885,60041.34745519676,1030.728,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.68415501,1727,GO,,POLYGON 149.739902601 2.178356362 149.7439043 2.191486345 149.744498319 2.191296268 149.749120085 2.20627761 149.749144161 2.206270195 149.749531716 2.207526429 149.749461985 2.207548426 149.751099381 2.212607891 149.753190388 2.219385666 149.753283603 2.219356959 149.753688251 2.220607282 149.753532295 2.22065648 149.759020626 2.23761465 149.75925203 2.237546075 149.775925506 2.232031998 149.775919288 2.232012634 149.776994863 2.231656925 149.777040484 2.231800985 149.793729269 2.226469443 149.793718098 2.226433884 149.795298089 2.225929117 149.795172795 2.225507 149.791195662 2.212847445 149.791235535 2.212834707 149.789186983 2.206313911 149.784747297 2.191342068 149.784575428 2.191392315 149.780678264 2.178249759 149.78008848 2.178422186 149.776432172 2.166683748 149.776440416 2.166681154 149.77462672 2.160858292 149.769889865 2.145233911 149.769798442 2.145261071 149.765821066 2.132141568 149.749007341 2.137136479 149.74902344 2.137190029 149.747933322 2.137513867 149.747885354 2.137353492 149.730764068 2.142297531 149.730783575 2.142363317 149.729187139 2.142824302 149.734261039 2.159935865 149.734429052 2.159884828 149.734808332 2.161163917 149.734606512 2.161225419 149.739834164 2.178378261,mast:JWST/product/jw01727-o078_t006_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o078_t006_nircam_clear-f115w_i2d.fits,PUBLIC,False,,126571534,1013.0000000000001,1282.0,0.0,1303375,149.77232832684146,2.220043071485665,F115W,60041.329683888885
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F150W,INFRARED,CWEBTILE-5-0,,jw01727-o078_t006_nircam_clear-f150w,149.76234416666665,2.184813888888889,image,"Kartaltepe, Jeyhan",3,60041.353916458334,60041.37156332176,1030.728,INFRARED,1331.0,1668.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.68415501,1727,GO,,POLYGON 149.739902226 2.178355944 149.743903724 2.191485643 149.744499757 2.191294943 149.749121502 2.206277338 149.749143199 2.206270656 149.749530644 2.207526636 149.749463898 2.207547695 149.751032684 2.212395776 149.753189037 2.219385934 149.753285071 2.219356358 149.753689576 2.220606397 149.753531437 2.22065629 149.759021 2.237620529 149.759085901 2.237601296 149.775924415 2.232032203 149.775918274 2.232013079 149.776993298 2.231657524 149.777038827 2.231801308 149.79372843 2.226469609 149.793717317 2.226434234 149.795300473 2.225928466 149.795209124 2.22562071 149.791193047 2.212836473 149.791235622 2.212822872 149.78912708 2.206110784 149.784747882 2.191341446 149.784578378 2.191391007 149.780678299 2.178237394 149.780085369 2.178410761 149.776429306 2.16667237 149.776440125 2.166668966 149.774539157 2.160565566 149.769890384 2.145233432 149.769802072 2.145259667 149.765820954 2.132129372 149.749007394 2.137124075 149.749026794 2.1371886 149.747936624 2.137512444 149.747885449 2.137341359 149.730764422 2.142285397 149.730787185 2.142362167 149.72918933 2.142823569 149.734263111 2.159934816 149.734428567 2.159884557 149.734807852 2.161163679 149.734608809 2.16122433 149.739836304 2.178377036,mast:JWST/product/jw01727-o078_t006_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw01727-o078_t006_nircam_clear-f150w_i2d.fits,PUBLIC,False,,126571514,1331.0,1668.0,0.0,1303375,149.77232832684146,2.220043071485665,F150W,60041.353916458334
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F277W,INFRARED,CWEBTILE-5-0,Galaxy; Field galaxies,jw01727-o078_t006_nircam_clear-f277w,149.76234416666665,2.184813888888889,image,"Kartaltepe, Jeyhan",3,60041.32968462963,60041.34745519676,1030.728,INFRARED,2416.0,3127.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.68415501,1727,GO,,POLYGON 149.793495822 2.226432135 149.793485426 2.22639806 149.795073249 2.225889137 149.787412184 2.200779011 149.784718545 2.191979845 149.784659781 2.191997132 149.780656169 2.178874279 149.78008018 2.179043723 149.769789088 2.145676828 149.76976221 2.145684697 149.765718605 2.132573682 149.731270401 2.142659017 149.73129317 2.142734827 149.729695971 2.143202415 149.740125656 2.177927449 149.740245938 2.177889119 149.744193023 2.191030255 149.744718729 2.190862728 149.748437365 2.202731493 149.748402726 2.202741682 149.7592629 2.237402906 149.759328833 2.237382754,mast:JWST/product/jw01727-o078_t006_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw01727-o078_t006_nircam_clear-f277w_i2d.fits,PUBLIC,False,,126571606,2416.0,3127.0,0.0,1303375,149.77232832684146,2.220043071485665,F277W,60041.32968462963
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F444W,INFRARED,CWEBTILE-5-0,Galaxy; Field galaxies,jw01727-o078_t006_nircam_clear-f444w,149.76234416666665,2.184813888888889,image,"Kartaltepe, Jeyhan",3,60041.35391719907,60041.37156332176,1030.728,INFRARED,3880.0,4986.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.68415501,1727,GO,,POLYGON 149.793492862 2.226430006 149.79348295 2.22639752 149.795067528 2.225889613 149.786086114 2.196453873 149.784716125 2.191978587 149.784653081 2.191997134 149.780649732 2.17887616 149.780078587 2.179044187 149.769787297 2.145674623 149.769759753 2.145682687 149.765716905 2.132573411 149.731268315 2.142658924 149.731290041 2.142731264 149.729690701 2.143199482 149.74012015 2.177925358 149.740246357 2.177885138 149.744193278 2.191026435 149.744708657 2.190862191 149.748427652 2.202731034 149.748398426 2.202739631 149.759257033 2.237392963 149.759946943 2.237182094,mast:JWST/product/jw01727-o078_t006_nircam_clear-f444w_i2d.jpg,mast:JWST/product/jw01727-o078_t006_nircam_clear-f444w_i2d.fits,PUBLIC,False,,126571580,3880.0,4986.0,0.0,1303375,149.77232832684146,2.220043071485665,F444W,60041.35391719907
science,HST,HAP-SVM,WFC3/IR,HAP,F160W,INFRARED,COSMOS-T44-NEW,UNIDENTIFIED;BLANK FIELD,hst_14114_44_wfc3_ir_f160w_icxe44,149.7813041667,2.105555555556,image,"van Dokkum, Pieter",3,57872.40144029,57872.43375473,2073.5005499999997,INFRARED,1393.8999999999999,1692.4,,57872.66329856,14114,HAP,,POLYGON 149.73484333791794 2.070732389899813 149.72243689182153 2.1023314374212045 149.7343792038586 2.1070698308298694 149.72264983189655 2.1374576716494778 149.73452111998802 2.142196069626817 149.72279147478906 2.1727976651114256 149.73505519657914 2.1775360735538545 149.72332529672437 2.207888279113973 149.7940226239724 2.2338947428940976 149.80532346256302 2.2021526450790487 149.79420016474464 2.19752166516414 149.80503730003437 2.1667414243320153 149.7939142641675 2.1622529350161597 149.8047868090065 2.131650816123541 149.79387792644496 2.1271266921857443 149.80475021962766 2.0964533426779233 149.73484333791794 2.070732389899813,mast:HST/product/hst_14114_44_wfc3_ir_f160w_icxe44_drz.jpg,mast:HST/product/hst_14114_44_wfc3_ir_f160w_icxe44_drz.fits,PUBLIC,False,,232959142,1393.8999999999999,1692.4,0.0,1303375,149.77232832684146,2.220043071485665,F160W,57872.40144029
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,COSMOS-T44-NEW,UNIDENTIFIED;BLANK FIELD,hst_14114_44_wfc3_ir_total_icxe44,149.7813041667,2.105555555556,image,"van Dokkum, Pieter",3,57872.40144029,57872.43375473,2073.5005499999997,,,,,57872.66329856,14114,HAP,,POLYGON 149.804750222481 2.096560217549891 149.73459379546577 2.070981759751865 149.72247254272727 2.1022601884427057 149.7343792038586 2.1070698308298694 149.7226854807146 2.1374932975973877 149.7340576796408 2.1417685607086243 149.73452111653864 2.1423741945978114 149.7228271282895 2.1726907911248645 149.73505519657914 2.1775360735538545 149.72336094530436 2.207995154960927 149.79295305777933 2.233645389838325 149.79395131428458 2.233609744961311 149.79437912531688 2.232932862651725 149.80532346256302 2.2021526450790487 149.79420016474464 2.19752166516414 149.80503730003437 2.1667414243320153 149.7939142641675 2.1622529350161597 149.8047868071025 2.131579566150773 149.7938779250508 2.127055442209112 149.804750222481 2.096560217549891,mast:HST/product/hst_14114_44_wfc3_ir_total_icxe44_drz.jpg,mast:HST/product/hst_14114_44_wfc3_ir_total_icxe44_drz.fits,PUBLIC,False,,232959143,,,0.0,1303375,149.77232832684146,2.220043071485665,,57872.40144029
science,HST,HAP-SVM,WFC3/IR,HAP,F098M,INFRARED,COSMOS-V07,GALAXY;HIGH REDSHIFT GALAXY,hst_17802_07_wfc3_ir_f098m_iffu07,149.7854625,2.216094444444,image,"Kartaltepe, Jeyhan",3,60643.66920577,60643.69618429,2011.735352,INFRARED,895.5,1076.7,,60643.99787024,17802,HAP,,POLYGON 149.77319607179618 2.191897294254583 149.74478081026888 2.252958176908617 149.77843683053212 2.2689541634155446 149.7793994597923 2.268776037533551 149.7811108026662 2.269488533925832 149.81045182082556 2.2087475549375815 149.77565599566617 2.1922179241069513 149.77497862452375 2.1925385479884114 149.77319607179618 2.191897294254583,mast:HST/product/hst_17802_07_wfc3_ir_f098m_iffu07_drz.jpg,mast:HST/product/hst_17802_07_wfc3_ir_f098m_iffu07_drz.fits,PUBLIC,False,,233289043,895.5,1076.7,0.0,1303375,149.77232832684146,2.220043071485665,F098M,60643.66920577
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,COSMOS-V07,GALAXY;HIGH REDSHIFT GALAXY,hst_17802_07_wfc3_ir_total_iffu07,149.7854625,2.216094444444,image,"Kartaltepe, Jeyhan",3,60643.66920577,60643.69618429,2011.735352,,,,,60643.99787024,17802,HAP,,POLYGON 149.77283955856532 2.192681042838468 149.7447808071015 2.2531006768639865 149.77797334218448 2.268740413744168 149.78121776117445 2.2693460337181874 149.81020227161184 2.2092463102950566 149.80931095825244 2.208035080008519 149.77668987684186 2.1927166747801174 149.77358823363485 2.1918972953219926 149.77283955856532 2.192681042838468,mast:HST/product/hst_17802_07_wfc3_ir_total_iffu07_drz.jpg,mast:HST/product/hst_17802_07_wfc3_ir_total_iffu07_drz.fits,PUBLIC,False,,233289044,,,0.0,1303375,149.77232832684146,2.220043071485665,,60643.66920577
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,COSMOS32-19,CLUSTER OF GALAXIES;BLANK SKY,hst_9822_6i_acs_wfc_f814w_j8pu6i,149.795375,2.208833333333,image,"Scoville, Nicholas",3,53121.72353885,53121.79147913,2028.0,OPTICAL,708.0,959.0,,53122.68829846,9822,HAP,,POLYGON 149.75987113747067 2.185175630736419 149.7710589208655 2.240828620132638 149.83054863631196 2.232203396562826 149.8240570311593 2.202800765398163 149.81817730651574 2.1781480946133427 149.79204731494661 2.1810093766402177 149.75987113747067 2.185175630736419,mast:HST/product/hst_9822_6i_acs_wfc_f814w_j8pu6i_drc.jpg,mast:HST/product/hst_9822_6i_acs_wfc_f814w_j8pu6i_drc.fits,PUBLIC,False,,26350397,708.0,959.0,0.0,1303375,149.77232832684146,2.220043071485665,F814W,53121.72353885
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,COSMOS32-19,CLUSTER OF GALAXIES;BLANK SKY,hst_9822_6i_acs_wfc_total_j8pu6i,149.795375,2.208833333333,image,"Scoville, Nicholas",3,53121.72353885,53121.79147913,2028.0,,,,,53122.68829846,9822,HAP,,POLYGON 149.75988503613007 2.185189519946816 149.7710589219941 2.2407591757161605 149.83045134030488 2.2322033988957313 149.82454354716265 2.205106311146107 149.8181495088765 2.178161983920273 149.79100489286768 2.181148262953447 149.75988503613007 2.185189519946816,mast:HST/product/hst_9822_6i_acs_wfc_total_j8pu6i_drc.jpg,mast:HST/product/hst_9822_6i_acs_wfc_total_j8pu6i_drc.fits,PUBLIC,False,,26350399,,,0.0,1303375,149.77232832684146,2.220043071485665,,53121.72353885
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,COSMOS32-24,CLUSTER OF GALAXIES;BLANK SKY,hst_9822_6n_acs_wfc_f814w_j8pu6n,149.7429583333,2.218058333333,image,"Scoville, Nicholas",3,53112.31680211,53112.34706906,2028.0,OPTICAL,708.0,959.0,,53112.44157405,9822,HAP,,POLYGON 149.70740739339266 2.194525481271807 149.71860914191583 2.2502062496118693 149.77802974125788 2.241608803971888 149.77253892127277 2.2163033750610186 149.7657278248229 2.1874979459621304 149.73948647835914 2.1903731176170216 149.70740739339266 2.194525481271807,mast:HST/product/hst_9822_6n_acs_wfc_f814w_j8pu6n_drc.jpg,mast:HST/product/hst_9822_6n_acs_wfc_f814w_j8pu6n_drc.fits,PUBLIC,False,,26350597,708.0,959.0,0.0,1303375,149.77232832684146,2.220043071485665,F814W,53112.31680211
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,COSMOS32-24,CLUSTER OF GALAXIES;BLANK SKY,hst_9822_6n_acs_wfc_total_j8pu6n,149.7429583333,2.218058333333,image,"Scoville, Nicholas",3,53112.31680211,53112.34706906,2028.0,,,,,53112.44157405,9822,HAP,,POLYGON 149.70742129213738 2.194539370483601 149.71859524367358 2.2501229160824376 149.77802973893844 2.241511581784492 149.77166319477715 2.2126367262184483 149.76568612799838 2.1875118354835146 149.73925019453796 2.1904147837431727 149.70742129213738 2.194539370483601,mast:HST/product/hst_9822_6n_acs_wfc_total_j8pu6n_drc.jpg,mast:HST/product/hst_9822_6n_acs_wfc_total_j8pu6n_drc.fits,PUBLIC,False,,26350603,,,0.0,1303375,149.77232832684146,2.220043071485665,,53112.31680211
