candidate_id,epoch_label,filter,filename,dataURI,mjd,detector,x_full,y_full,raw_flux,raw_fluxerr,raw_snr_err,empirical_ap_sigma,raw_snr_emp,n_blank_apertures,clean_flux,clean_fluxerr,clean_snr_err,x_2dg,y_2dg,x_com,y_com,sigma_x_pix,sigma_y_pix,n_mc_good,pixel_scale_mas,east_2dg_arcsec_raw_wcs,north_2dg_arcsec_raw_wcs,east_com_arcsec_raw_wcs,north_com_arcsec_raw_wcs,dq_or_r4,dq_center,dq_do_not_use,dq_saturated,dq_jump_det,dq_outlier,target_seed_recentered,target_seed_offset_pix,n_controls,reference_file,east_2dg_mas,north_2dg_mas,east_com_mas,north_com_mas,registration_scatter_east_mas,registration_scatter_north_mas
643980,early,F444W,jw01837003016_08201_00002_nrcblong_cal.fits,mast:JWST/product/jw01837003016_08201_00002_nrcblong_cal.fits,60082.496726655096,NRCBLONG,1958.1321230305805,1607.310230298934,0.5282628983259201,0.08746124655314312,6.039965346308407,0.07312569437026978,-0.134485956577073,60,0.4203677177429199,0.07600376253925924,5.5308803630054735,208.5728156439072,195.281086017483,208.5145456484879,194.00029874685265,0.41373408562090774,0.5388172116874816,37,62.5685107063084,-0.1303901942904748,0.5995996780043861,-0.20765563519529479,0.6215145240391551,18437,0,True,False,True,False,True,10.17345417702496,13,jw01837003016_08201_00002_nrcblong_cal.fits,-130.3901942904748,599.5996780043861,-207.6556351952948,621.514524039155,0.0,0.0
643980,late,F444W,jw05398275001_05201_00002_nrcblong_cal.fits,mast:JWST/product/jw05398275001_05201_00002_nrcblong_cal.fits,60799.813245972226,NRCBLONG,1218.5431167321772,1607.5930092031272,0.37197476625442505,0.048210571927411044,7.71562649815676,0.06967607800215482,0.5557282570388006,60,0.3452143967151642,0.044910415371263696,7.686733553037955,208.9559043822392,193.80888635471157,207.45364413435325,193.64846618089447,0.32972784368377916,0.3606795745864376,38,62.56480909778943,-0.1982754037100054,0.66093269096799,-0.23228885871029936,0.5729413008766967,32772,4,False,False,True,False,True,10.181609498432168,20,jw01837003016_08201_00002_nrcblong_cal.fits,-180.59761550746003,634.6539855872522,-214.63072613225836,546.698008928871,6.874050277730872,4.990983839842098
643980,late,F444W,jw05398275001_05201_00003_nrcblong_cal.fits,mast:JWST/product/jw05398275001_05201_00003_nrcblong_cal.fits,60799.824926712965,NRCBLONG,1229.7655019348126,1620.2180469314774,0.4939619302749634,0.05054249325396649,9.773200696548505,0.05344734233915806,-1.8750440357830105,60,0.47562476992607117,0.0494335671354014,9.621494006760779,209.0843911868538,194.58220115676133,209.84310590515258,194.60152705044266,0.42518050609270974,0.2369150808399456,40,62.556229186883655,-0.19072501930503052,0.6527907235887799,-0.1772816175707969,0.6982189157655202,5,4,True,False,True,False,True,11.273538903153717,21,jw01837003016_08201_00002_nrcblong_cal.fits,-175.34656215569788,639.3290693946932,-161.86726293328366,684.7715797134514,8.85517369667288,4.988236923298885
