candidate_id,classification,dec_deg,input_f444w_flux_njy,input_f444w_mag_ab,pm_status,ra_deg,reason,n_hst_inventory_rows,n_jwst_inventory_rows,pair_status
995308,INSUFFICIENT_DATA,2.23681818819755,374.800473668639,24.9654996723185,INSUFFICIENT_DATA,149.777264424858,NO_INDEPENDENT_JWST_EPOCH_PAIR,25.0,5.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
1009298,INSUFFICIENT_DATA,2.24008625989182,27511.7617737904,20.3012039943877,INSUFFICIENT_DATA,149.76882408224,NO_INDEPENDENT_JWST_EPOCH_PAIR,25.0,5.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
1030969,INSUFFICIENT_DATA,2.24557577367339,227.626180216049,25.5069444735583,ERROR,149.991595027107,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1140578,INSUFFICIENT_DATA,2.27168871315818,105.204268043924,26.3449166022065,ERROR,150.426837946364,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1167132,INSUFFICIENT_DATA,2.27779218264497,375.60412737926,24.9631741101828,ERROR,150.387163971703,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1186446,INSUFFICIENT_DATA,2.28208319922603,402.834383330249,24.8871836699403,ERROR,150.008787926354,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1363899,INSUFFICIENT_DATA,2.32115414588305,350.321029280209,25.0388344795274,ERROR,150.211473734797,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1374270,INSUFFICIENT_DATA,2.32330268112041,408.418725412246,24.8722358858752,INSUFFICIENT_DATA,149.815903524498,NO_INDEPENDENT_JWST_EPOCH_PAIR,12.0,5.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
1410073,INSUFFICIENT_DATA,2.33078494737648,960.80188370409,23.9434153853662,INSUFFICIENT_DATA,150.484925294283,NO_INDEPENDENT_JWST_EPOCH_PAIR,18.0,6.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
1479345,INSUFFICIENT_DATA,2.34489270807783,25982.1747728446,20.363311250525,ERROR,150.021514269696,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1659041,INSUFFICIENT_DATA,2.38383559400873,4315.67852923776,22.3123772824113,INSUFFICIENT_DATA,150.465447160905,NO_INDEPENDENT_JWST_EPOCH_PAIR,23.0,6.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
1807846,INSUFFICIENT_DATA,2.42106814206226,473.308823766048,24.7121384975602,ERROR,149.997784581403,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
1889755,INSUFFICIENT_DATA,2.44317563614232,866.405299489011,24.0556972498794,ERROR,149.953785403089,"RuntimeError: MAST product query failed after 3 attempts: sequence item 0: expected str instance, numpy.int64 found",,,
2134685,INSUFFICIENT_DATA,2.53720970666213,220.295131986912,25.5424877491178,INSUFFICIENT_DATA,150.072653359296,NO_INDEPENDENT_JWST_EPOCH_PAIR,48.0,5.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
2248660,INSUFFICIENT_DATA,2.63271726610143,289.29194646683,25.2466591410243,INSUFFICIENT_DATA,149.977423448575,NO_INDEPENDENT_JWST_EPOCH_PAIR,23.0,6.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
2255274,INSUFFICIENT_DATA,2.64390019504026,373.952563020604,24.9679587145858,INSUFFICIENT_DATA,150.04772322605,NO_INDEPENDENT_JWST_EPOCH_PAIR,9.0,4.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
2266239,INSUFFICIENT_DATA,2.68597809753265,10405.1219492094,21.3568820636048,INSUFFICIENT_DATA,149.938811541636,NO_INDEPENDENT_JWST_EPOCH_PAIR,10.0,5.0,NO_INDEPENDENT_JWST_EPOCH_PAIR
