candidate_id,epoch_label,filter,epoch_mjd_inventory,n_observation_rows,n_cal_products,n_covering_cal_exposures,n_secure_centroids_snr3,max_measurement_snr,secure_detection_epoch
474672,epoch_007,F277W,60315.665366869216,2,16,2,0,1.9837491155330895,False
474672,epoch_001,F115W,60315.665367239584,2,64,2,0,-0.10041531899043407,False
474672,epoch_003,F150W,60315.7884415625,1,32,1,0,-0.0025067337743913953,False
474672,epoch_009,F444W,60315.7884415625,1,8,1,1,3.3506990489177197,True
474672,epoch_006,F250M,60816.78457862268,1,12,4,0,-0.495361419409425,False
474672,epoch_002,F140M,60816.78457862268,1,48,4,0,0.4408505319174011,False
474672,epoch_008,F335M,60816.86448298611,1,12,4,0,2.2518330718702533,False
474672,epoch_004,F182M,60816.86448298611,1,48,4,0,0.862357244048151,False
474672,epoch_005,F210M,60816.94451179398,1,48,4,0,1.787981933127937,False
474672,epoch_010,F480M,60816.94451179398,1,12,4,1,4.132373680090335,True
