x_local,y_local,ra_deg,dec_deg,flux,fluxerr,snr,candidate_id,epoch_label,filter,filename,east_arcsec_raw_wcs,north_arcsec_raw_wcs
350.4863806710263,13.954175241754085,149.9997486794638,2.0627127052944148,0.5571257844567299,0.04698260089548521,11.858129899961899,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-8.400166853500048,12.38084965744617
382.19112003068443,20.11717293853183,150.00001132105714,2.063206589067952,8.1072543784976,0.15894766120068476,51.005811078034746,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-7.455267467618463,14.15882993634801
255.52582848417018,38.377277540764894,149.999677244386,2.0610151996155874,2.1874997690320015,0.08183667229088282,26.73006743549743,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-8.657175720472702,6.269829595769034
245.73667671294467,43.65439835794085,149.99971591679213,2.0608262324939632,2.3113455548882484,0.09022404537513898,25.617844392567374,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-8.518046130868822,5.589547749638648
176.4084192240917,51.16176711088918,149.99949317722033,2.0596395169311084,1.0661093145608902,0.05538325439161546,19.249668988796184,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-9.319396896674581,1.3173729692452583
44.878515525642094,97.12695470581593,149.99960120372288,2.0572278313403594,2.428659573197365,0.09348205243282368,25.979955617069947,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-8.930766246453121,-7.364695775659931
240.91248826727207,98.30717408404908,150.00060125811095,2.060468964634613,1.099184863269329,0.059003154435043816,18.629255906638253,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-5.332880032808987,4.303379610640299
240.9237700932822,144.35520733082058,150.00136735723706,2.0602353992215257,2.429653376340866,0.08724077694898773,27.849974075328976,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,-2.57670674555733,3.4625422233919476
380.23248177407083,191.1735256970911,150.0028474733676,2.0623018313086523,1.3140556812286377,0.06990502012228687,18.797729818687156,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,2.7482633901358944,10.90169781667525
214.63783966931405,243.18144147138295,150.00287859837437,2.0592988264636753,5.713178522884846,0.12250918082975197,46.6346969605838,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,2.860246228763883,0.09088042949953162
63.535159446962,248.7535863714615,150.00221582670403,2.0567713604090265,5.728787496685982,0.12230369526919842,46.840673816735844,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,0.47580990110584254,-9.00799806057156
310.7277129258653,307.6647384851043,150.00443304492384,2.0605590805941563,1.5118311867117882,0.07516531543058111,20.113415051228504,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,8.452633064477876,4.627800813576866
323.85095797687546,309.21592671684124,150.00452492558918,2.06076798088689,14.754300206899643,0.16354550031851503,90.21526228581482,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,8.783188426113417,5.37984236401222
44.91049647749329,317.69924432733825,150.0032687874752,2.0561148773282225,1.0912823230028152,0.05835714388372214,18.700063957503108,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,4.264028329899425,-11.371335586441932
26.663771575218817,321.1058574365092,150.00323458011223,2.055795929454779,8.8055949062109,0.12818642168345012,68.69366342057562,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,4.140961937537914,-12.519548020996302
62.29763048410193,343.9091162114577,150.00379080380316,2.0562698165297735,13.148321956396103,0.18093586507005147,72.66841182263988,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,6.142076588329261,-10.813552757454225
59.12625377961798,370.8477929491286,150.00422246908627,2.0560811151598353,2.178528629243374,0.08779561325022806,24.813638729697182,483376,early,F277W,jw01727092001_02101_00003_nrcalong_cal.fits,7.695071857677664,-11.492875816226416
350.73883403081487,14.286202533733281,149.9997500463449,2.062713263714039,0.5546636283397675,0.047249994818194446,11.738914056476984,483376,early,F277W,jw01727092001_02101_00004_nrcalong_cal.fits,-8.395249267265118,12.382859960895917
382.3420528478837,20.395859897345805,150.00001139765038,2.0632062840522467,7.191030092537403,0.15122578883965132,47.55161237850934,483376,early,F277W,jw01727092001_02101_00004_nrcalong_cal.fits,-7.454991912177393,14.157731879451656
255.75028435433424,38.646000792136675,149.99967769998605,2.0610140478999326,2.165922060608864,0.07713141245150236,28.080933458475467,483376,early,F277W,jw01727092001_02101_00004_nrcalong_cal.fits,-8.655536627408765,6.26568341693542
245.88968516597717,43.884259006876164,149.99971543353345,2.060823939580199,2.0683308839797974,0.08679204578102437,23.830880645424347,483376,early,F277W,jw01727092001_02101_00004_nrcalong_cal.fits,-8.519784749137408,5.581293262670789
177.2701751126552,51.46549466562583,149.9994974967491,2.05964747466922,1.1134422570466995,0.06051945176156897,18.398088955487815,483376,early,F277W,jw01727092001_02101_00004_nrcalong_cal.fits,-9.303856592713425,1.3460208012216064
