obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
233116089,JWST,image,jw02321004003_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00003_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116095,JWST,image,jw02321004003_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00005_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116099,JWST,image,jw02321004003_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00003_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116102,JWST,image,jw02321004003_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00005_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116106,JWST,image,jw02321004003_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00004_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116108,JWST,image,jw02321004003_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00004_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116115,JWST,image,jw02321004003_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00006_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116120,JWST,image,jw02321004003_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004003_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004003_02101_00006_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116130,JWST,image,jw02321004002_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00001_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116131,JWST,image,jw02321004002_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00001_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116137,JWST,image,jw02321004002_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00003_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116138,JWST,image,jw02321004002_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00002_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116141,JWST,image,jw02321004002_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00005_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116144,JWST,image,jw02321004002_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00006_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116153,JWST,image,jw02321004002_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00004_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116154,JWST,image,jw02321004002_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004002_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004002_02101_00006_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
