pair_id,status,pair_type,filter_early,filter_late,baseline_days_inventory,pair_filter_cost
F115W_epoch_000__F115W_epoch_001,PAIR_FOUND,SAME_FILTER_JWST,F115W,F115W,331.82534159722127,5572.0
F444W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F356W,331.8012334722225,908.0
F444W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F200W,331.770414988423,2487.0
F277W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F356W,331.82534159722127,2550.0
F444W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F115W,331.8012334722225,3322.0
F150W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F356W,331.8012334722225,3811.0
F277W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F200W,331.79452311342175,4129.0
F115W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F356W,331.82534159722127,4158.0
F277W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F115W,331.82534159722127,4964.0
F150W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F200W,331.770414988423,5390.0
F115W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F200W,331.79452311342175,5737.0
F150W_epoch_000__F115W_epoch_001,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F115W,331.8012334722225,6225.0
