source_row,candidate_id,ra_deg,dec_deg,chi2_exp_sfh,k_exp_sfh,aic_exp_sfh,chi2_lognormal_sfh,k_lognormal_sfh,aic_lognormal_sfh,chi2_atmo2020,k_atmo2020,aic_atmo2020,chi2_sonora_elf_owl,k_sonora_elf_owl,aic_sonora_elf_owl,source_classification_3sigma
27,184480,150.380935484594,2.01616387087277,5.41487262008421,6,17.41487262008421,0.550854350409264,6,12.550854350409264,1.66440800607616,1,3.66440800607616,1.56382838891829,1,3.56382838891829,Unclassified
28,264334,149.928515387627,1.95696559639944,4.73622187356638,6,16.73622187356638,0.541899512444608,6,12.541899512444608,1.71702601086733,1,3.71702601086733,1.57077205648673,1,3.57077205648673,Unclassified
29,291010,150.06865494848,1.97731991998037,7.57872087908068,6,19.57872087908068,0.497692080651906,6,12.497692080651905,3.72805936701291,1,5.72805936701291,1.76615548513057,1,3.76615548513057,Unclassified
30,769299,150.495230781794,2.23082361066421,6.34911798280094,6,18.34911798280094,0.530415507537128,6,12.530415507537128,1.97180790370798,1,3.97180790370798,1.87714362238653,1,3.87714362238653,Unclassified
31,474672,150.201510426313,2.47961793201337,9.06084855034012,6,21.06084855034012,0.471864300142231,6,12.471864300142231,2.99362677646852,1,4.9936267764685205,1.85765439643241,1,3.8576543964324097,Unclassified
32,108890,150.070444669292,2.06925623062802,6.7788075942715,6,18.7788075942715,0.633015334264186,6,12.633015334264186,2.56132332307323,1,4.56132332307323,2.18064134823142,1,4.18064134823142,Unclassified
33,530275,150.334380763637,2.53761375780599,8.38607856313801,6,20.38607856313801,0.487987434806433,6,12.487987434806433,2.23266961833452,1,4.23266961833452,2.05619838868288,1,4.05619838868288,Unclassified
34,546389,150.521000971707,2.30598968460701,8.99980672099726,6,20.99980672099726,0.532100589993536,6,12.532100589993536,2.74102446333202,1,4.74102446333202,2.25139786358756,1,4.2513978635875596,Unclassified
35,569254,150.47922473461,2.33697151485543,5.53229102835976,6,17.532291028359758,0.590516799335392,6,12.590516799335392,9.84316524272576,1,11.84316524272576,3.20169487064834,1,5.20169487064834,Unclassified
36,282185,149.99893284692,1.93310522847692,8.67785821729553,6,20.67785821729553,0.536567196824984,6,12.536567196824985,5.60278408332836,1,7.60278408332836,3.62622139558443,1,5.62622139558443,Unclassified
37,228965,149.857572950087,2.10081067930243,4.78689417519275,6,16.78689417519275,0.598213587267724,6,12.598213587267724,3.9796683004265,1,5.9796683004265,3.82666472325293,1,5.8266647232529305,Unclassified
38,195502,149.784890944399,1.97253914389118,57.1575758528092,6,69.1575758528092,0.53290035195683,6,12.53290035195683,5.280611866852,1,7.280611866852,4.48072645013537,1,6.48072645013537,Unclassified
39,307607,150.103930647123,1.9626151014652,7.46722219622778,6,19.46722219622778,0.540430105850624,6,12.540430105850625,4.63428961168935,1,6.63428961168935,4.6650417062776,1,6.6650417062776,Unclassified
40,634014,150.066064699699,2.31883176584811,5.96097981083964,6,17.96097981083964,0.521727605444553,6,12.521727605444553,5.52429099623568,1,7.52429099623568,4.79753234241868,1,6.79753234241868,Unclassified
41,736303,150.387756930111,2.31539501922778,5.84989625894798,6,17.84989625894798,0.579770437353423,6,12.579770437353423,5.20993913301112,1,7.20993913301112,5.22719872760222,1,7.22719872760222,Unclassified
42,634857,149.966278518535,2.36172284959494,1088.99312610902,6,1100.99312610902,0.590467309174579,6,12.59046730917458,5.41108396661492,1,7.41108396661492,8.35974305353726,1,10.35974305353726,Unclassified
43,761868,150.388666150678,2.20300005572496,12.8308578547957,6,24.830857854795703,0.518050933586201,6,12.518050933586201,5.69848591758637,1,7.69848591758637,5.76523046920485,1,7.76523046920485,Unclassified
44,492993,150.185503328259,2.43822910954922,4.96688589619017,6,16.96688589619017,0.703300609690159,6,12.703300609690158,6.72201595665235,1,8.72201595665235,6.7188009507243,1,8.718800950724301,Unclassified
45,42904,149.970003750844,2.09625329227394,4179.0394278849,6,4191.0394278849,0.410137702842389,6,12.41013770284239,7.54121525289289,1,9.54121525289289,10.890341321992,1,12.890341321992,Unclassified
46,492993,150.185503328259,2.43822910954922,4.96688589619017,6,16.96688589619017,0.703300609690159,6,12.703300609690158,6.72201595665235,1,8.72201595665235,6.7188009507243,1,8.718800950724301,Unclassified
