candidate_id,ra_deg,dec_deg
293229,149.7436537118226,1.9396163316374857
311339,149.88102262824654,1.9462900097076952
432637,149.7602654304882,1.9870446342379595
520043,150.25720557436193,2.0138265431958327
525578,150.3917082628875,2.015367673886062
555318,150.32924962968139,2.025336531692608
764864,150.41139160492307,2.090987534036701
804617,149.9897518986114,2.1040185434043974
1060646,149.9720435663608,2.1740792194192085
1303375,149.77232832684146,2.220043071485665
1865193,149.81012123844184,2.3087283331482253
1982868,150.04411967728169,2.325835790037304
2117792,150.02152564060543,2.3448552753162994
2693520,150.5137424402309,2.4363265088015993
2878691,150.49225502456562,2.472187262548635
2878692,150.49222596117568,2.4722712411949175
2896745,149.91930403024975,2.4762627025260895
2919926,150.05833943525073,2.4809498925704805
3106872,150.01318827045026,2.5440649260707513
3106873,150.0131464006159,2.5441108532967944
3142987,150.032926664159,2.5602312958169917
3190946,150.10764711957054,2.584734182661078
3190947,150.10765853332603,2.5847798461818816
