source_row,candidate_id,ra_deg,dec_deg,mag_F444W,red_blue_ratio
1,437,150.296298852626,1.73675491898305,25.76879172932659,32.90979733082226
3,9095,150.241679977579,1.76562803699525,25.64347597633609,40.3545611936882
5,30382,150.302209938254,1.79379716755534,25.80699804072431,69.06609622399878
6,54666,150.071191225422,1.81710097381923,25.636823029476425,30.269910713533864
7,57038,150.169836305335,1.8190607883099,25.686603748748585,60.0568772114038
12,204643,150.355552737912,1.90439835778517,25.492829571723128,31.48649023057522
14,244413,149.793378580784,1.92125026001359,25.68831360083258,1239.5376207657027
22,309311,149.720792661442,1.94558312708565,26.069450396376368,401.5822940248768
24,312972,149.860786976369,1.94688644928282,26.12029605118317,58.17269538667178
27,379073,149.954241334037,1.96929219077324,26.170050590980253,64.82379690094672
31,423357,149.920227768166,1.98411953184297,25.06378552962146,90.80801190724905
35,510752,150.376571038048,2.01089064167284,25.94925515498757,80.05601494306926
38,525095,150.23476143669,2.0156191979999,25.833386184105297,48.07316042009392
45,609290,150.274687824178,2.04255014047679,25.937229482781778,50.86891025722379
48,711005,150.087075271185,2.07425379127274,25.381209059178623,41.991526442399866
51,777681,150.283616174201,2.09515972263805,24.829263893677947,30.440901455874613
55,816665,150.282300060369,2.10787790702535,24.890068911963873,50.221873600434286
59,914378,150.322746660998,2.13647046332409,25.898908072960353,101.74447126056295
60,920430,150.002706327301,2.13817868526421,25.02606913359214,36.967438450667125
61,1036583,149.960874627361,2.1683606483834,25.936104498883253,122.26822917245102
62,1038406,149.91956239456,2.16888484452086,26.05116939685235,30.306965008913032
65,1108588,149.929162284795,2.18414272794439,25.370131886714262,34.25985181662648
66,1142350,149.915826839708,2.19086389191468,26.0361468055286,198.45971130846138
72,1231018,149.860299446078,2.20739139582988,26.036927019491333,63.79351638148865
73,1247563,149.990956017915,2.21040592047245,25.64137096121037,43.952183906584565
74,1251470,150.268332338518,2.21101330200398,25.933698873191275,34.7221186202718
76,1312621,149.957067518051,2.22174615234122,24.88856490534421,42.55369652460886
77,1421504,149.923881832584,2.23987336116454,25.96545624479575,46.70071187002218
79,1584459,149.791769295266,2.26620299700506,25.56795200178333,62.74146555113474
80,1645882,150.480529577253,2.27583323048601,25.858653477277375,47.99693983252071
81,1651050,150.307303724545,2.27642841317716,25.180081719789733,31.602952684977726
84,1793642,149.850010986585,2.29798942476609,25.632994265975622,31.916433512528176
87,1910402,150.003821549491,2.31572512761846,26.16606211221168,154.87953124919574
91,2031339,149.913921619231,2.33288280901091,26.114233213061958,30.1916320209306
94,2150648,150.022440564701,2.34963175214426,26.132883485151673,53.53481164029348
101,2704216,149.89449521303,2.43892170508623,26.18906426931529,63.82554150325358
102,2708503,150.479744035378,2.43965825966239,26.161482763349905,109.75714711760062
104,2836975,150.25672325502,2.463106044747,25.72671325155112,31.957910020352603
107,2884404,150.211186939527,2.47360243674249,26.136140606280172,143.63407905530636
113,2970636,150.075709314254,2.49460218557437,25.75635264515875,64.02815704061283
114,3010555,150.415905952497,2.50648124377998,25.954468908357477,73.3725416806143
124,3278834,149.93736476424,2.67536099009395,24.70630624130311,46.0913821027869
