candidate_id,ra_deg,dec_deg
437,150.296298852626,1.73675491898305
8926,150.214721879783,1.76532476407896
9095,150.241679977579,1.76562803699525
30279,150.280231820561,1.79359899540494
30382,150.302209938254,1.79379716755534
54666,150.071191225422,1.81710097381923
57038,150.169836305335,1.8190607883099
104394,150.245997442832,1.85274880160562
142367,150.307803730485,1.87427850096758
169433,150.311530361101,1.88799896895099
203707,149.883937801585,1.90445660378475
204643,150.355552737912,1.90439835778517
204646,150.355659508915,1.90435878380537
244413,149.793378580784,1.92125026001359
268944,150.342592891074,1.9310597224296
280656,149.771210515045,1.93526967145154
280657,149.771212513513,1.93537560156061
293229,149.743653711823,1.93961633163749
293230,149.743687991268,1.93967948154241
293232,149.743806056228,1.93989607603207
293802,150.026818920321,1.94000052736051
309311,149.720792661442,1.94558312708565
311339,149.881022628247,1.9462900097077
312972,149.860786976369,1.94688644928282
339109,150.268286568238,1.95584438205934
357674,149.798288379332,1.96218289460074
379073,149.954241334037,1.96929219077324
382195,150.081710930826,1.97038133894841
383151,150.081441370497,1.97070520491244
387132,150.151305521001,1.97207703103215
423357,149.920227768166,1.98411953184297
432637,149.760265430488,1.98704463423796
468358,150.018883498086,1.99784341390777
508190,149.706660785818,2.01001442994572
510752,150.376571038048,2.01089064167284
513217,149.950606007856,2.01179830876083
520043,150.257205574362,2.01382654319583
525095,150.23476143669,2.0156191979999
525578,150.391708262888,2.01536767388606
555318,150.329249629681,2.02533653169261
575105,150.052355484715,2.03159335497676
575106,150.05240420864,2.03168144991716
578275,150.349330004012,2.03273164189334
592641,150.32905552917,2.03725113218689
609290,150.274687824178,2.04255014047679
668453,150.353091368076,2.06096068727753
689692,150.233944838004,2.06766483975282
711005,150.087075271185,2.07425379127274
751857,149.868861132044,2.08686554579902
764864,150.411391604923,2.0909875340367
777681,150.283616174201,2.09515972263805
804155,150.291765379323,2.10390123111382
804617,149.989751898611,2.1040185434044
815689,150.268926604897,2.10762670682492
816665,150.282300060369,2.10787790702535
837290,149.967318344645,2.11445758568318
885213,150.068647028619,2.12811245484509
897873,150.344237546821,2.13168233131328
914378,150.322746660998,2.13647046332409
920430,150.002706327301,2.13817868526421
1036583,149.960874627361,2.1683606483834
1038406,149.91956239456,2.16888484452086
1060646,149.972043566361,2.17407921941921
1093603,150.301427268989,2.18084013481406
1108588,149.929162284795,2.18414272794439
1142350,149.915826839708,2.19086389191468
1155057,150.412338324507,2.19328451284381
1186177,149.896476226423,2.19923521049439
1197757,150.386637353908,2.20126843400966
1203651,149.868291729317,2.20234860811086
1218999,150.253951540487,2.20513885346337
1231018,149.860299446078,2.20739139582988
1247563,149.990956017915,2.21040592047245
1251470,150.268332338518,2.21101330200398
1303375,149.772328326841,2.22004307148566
1312621,149.957067518051,2.22174615234122
1421504,149.923881832584,2.23987336116454
1423587,149.768823575016,2.24008593099135
1584459,149.791769295266,2.26620299700506
1645882,150.480529577253,2.27583323048601
1651050,150.307303724545,2.27642841317716
1658535,150.387165054062,2.27779281611724
1687583,150.008787012637,2.28208355107671
1793642,149.850010986585,2.29798942476609
1813942,149.863559805817,2.30116623922747
1865193,149.810121238442,2.30872833314823
1910402,150.003821549491,2.31572512761846
1948077,150.211472402519,2.32115519643134
1963668,149.815903267064,2.32330236656941
1982868,150.044119677282,2.3258357900373
2031339,149.913921619231,2.33288280901091
2117792,150.021525640605,2.3448552753163
2117793,150.021506235118,2.34491746283781
2150648,150.022440564701,2.34963175214426
2169015,150.298688005183,2.35234560980494
2352371,150.246045704239,2.3799881497856
2383194,150.465446947721,2.38383568436518
2425141,150.015719127303,2.39113161760715
2605623,149.997784800461,2.42106786021042
2693520,150.513742440231,2.4363265088016
2704216,149.89449521303,2.43892170508623
2708503,150.479744035378,2.43965825966239
2729586,149.953784497999,2.4431767776646
2836975,150.25672325502,2.463106044747
2878691,150.492255024566,2.47218726254864
2878692,150.492225961176,2.47227124119492
2884404,150.211186939527,2.47360243674249
2896745,149.91930403025,2.47626270252609
2919926,150.058339435251,2.48094989257048
2952479,149.939651787401,2.48958609544997
2952480,149.939585323433,2.48964650410859
2952481,149.939504917449,2.48971009531898
2970636,150.075709314254,2.49460218557437
3010555,150.415905952497,2.50648124377998
3101447,150.072283839121,2.5416495986904
3106872,150.01318827045,2.54406492607075
3106873,150.013146400616,2.54411085329679
3120840,150.288250277912,2.55025369165685
3142987,150.032926664159,2.56023129581699
3153521,150.043658083297,2.56553059622717
3190946,150.107647119571,2.58473418266108
3190947,150.107658533326,2.58477984618188
3265542,150.04772982364,2.64390212914156
3278834,149.93736476424,2.67536099009395
3279908,149.938812168144,2.68597995456793
