early_file,late_file,baseline_year,delta_east_mas,delta_north_mas,mu_alpha_cosdec_masyr,mu_delta_masyr,method
jw01727032001_04101_00002_nrcblong_cal.fits,jw05893020007_03101_00001_nrcblong_cal.fits,1.941135678188458,-226.93683874738406,32.90031609630774,-116.9093130878776,16.949003856861555,2DG
jw01727032001_04101_00002_nrcblong_cal.fits,jw05893020007_03101_00001_nrcblong_cal.fits,1.941135678188458,-153.3868549644107,68.64085169142182,-79.01913126832906,35.361181839427154,COM
