x_local,y_local,ra_deg,dec_deg,flux,fluxerr,snr,candidate_id,epoch_label,filter,filename,east_arcsec_raw_wcs,north_arcsec_raw_wcs
199.11315020371458,112.20741628720786,150.27219751086693,2.195511470807845,789.4022118151188,2.8817442768520687,273.93208278613747,835615,early,F115W,jw01727066001_02101_00004_nrcb4_cal.fits,2.538353353289686,-1.0294235447502607
189.53662235593737,106.41808796924649,150.27227615917607,2.1955682953196183,2.7238017916679382,0.21733970714995138,12.53246278549864,835615,early,F115W,jw01727066001_02101_00004_nrcb4_cal.fits,2.8212793161956022,-0.8248551614256968
173.93568967021795,149.86741345391016,150.27198053937695,2.1958381730948737,6.494356766343117,0.3239484642927411,20.047499779083346,835615,early,F115W,jw01727066001_02101_00004_nrcb4_cal.fits,1.757828992571676,0.14670437688193072
198.78832959892307,112.44381151173042,150.27219637439353,2.195511809104355,800.4770759344101,2.8916451506417227,276.8241033159846,835615,early,F115W,jw01727066001_02101_00003_nrcb4_cal.fits,2.5342650517971634,-1.0282056792414624
173.69398541442916,150.62776938544218,150.27197517944896,2.195839149506906,4.8062125742435455,0.27564563509640055,17.436200549893293,835615,early,F115W,jw01727066001_02101_00003_nrcb4_cal.fits,1.7385474194504345,0.15021945393261738
202.4197084671069,250.38979031177817,150.27197039914748,2.195838871079439,6.103295207023621,0.31773594260475047,19.208702537678754,835615,late,F115W,jw05893016008_05101_00002_nrca1_cal.fits,1.721350970974912,0.1492171095233602
173.0646214576171,286.1159309429199,150.2721816362109,2.1954963424052947,268.3842329084873,2.047130194771388,131.10266928501778,835615,late,F115W,jw05893016008_05101_00002_nrca1_cal.fits,2.4812465683959557,-1.0838858205708723
175.51973088256355,294.91970552049787,150.27226147942397,2.195491395305847,2.2559084594249725,0.19276894409830259,11.70265506187849,835615,late,F115W,jw05893016008_05101_00002_nrca1_cal.fits,2.768471147105525,-1.1016952384388459
224.564765761973,249.49716475400558,150.27197165678723,2.1958461454207825,5.633780598640442,0.2929553850066247,19.230848405510766,835615,late,F115W,jw05893012005_05101_00001_nrcb2_cal.fits,1.7258751412035938,0.1754047398073349
198.27039481212842,285.82194700732634,150.27218710251282,2.1955196906225476,797.8882864117622,3.0258569594456155,263.6900214073397,835615,late,F115W,jw05893012005_05101_00001_nrcb2_cal.fits,2.500910770763873,-0.9998322293579933
189.96789651605084,290.81006874964385,150.27220222148492,2.19543685802512,3.0667550563812256,0.22215729039030152,13.804431315278176,835615,late,F115W,jw05893012005_05101_00001_nrcb2_cal.fits,2.5552992569612254,-1.298029554538156
206.76507977487998,291.9727549172677,150.27226349857605,2.195569336785103,3.7382423281669617,0.24248232898894265,15.416555687806133,835615,late,F115W,jw05893012005_05101_00001_nrcb2_cal.fits,2.7757346138543117,-0.8211059093742505
225.43639112054908,249.15063102159232,150.2719723843317,2.1958452644873723,3.818639397621155,0.24717984457018619,15.448829997693684,835615,late,F115W,jw05893012005_03101_00001_nrcb2_cal.fits,1.7284923789882851,0.17223338037248628
199.35824801281842,285.40167221048677,150.2721870744149,2.195519514010816,790.4204978346825,2.8951494535272757,273.0154385887339,835615,late,F115W,jw05893012005_03101_00001_nrcb2_cal.fits,2.50080969274503,-1.0004680316375232
189.8385207083069,280.07300609801524,150.2721140843676,2.1954591393617773,4.3717522621154785,0.26972683631165967,16.208073033801043,835615,late,F115W,jw05893012005_03101_00001_nrcb2_cal.fits,2.2382385040957353,-1.2178168838321004
208.34130408751247,291.37654067377275,150.2722636661479,2.195573497406155,4.815390229225159,0.2774701690017849,17.354623189039764,835615,late,F115W,jw05893012005_03101_00001_nrcb2_cal.fits,2.7763374219295094,-0.8061276732751468
224.69792480521076,249.40366157547342,150.27197121228977,2.195844866244446,4.894375383853912,0.2724221557842177,17.966142914347568,835615,late,F115W,jw05893012005_05101_00002_nrcb2_cal.fits,1.7242761268841522,0.17079970448430024
198.79183579583184,285.71895869773294,150.27218632769575,2.195520032788184,804.90628439188,2.9677484387339925,271.2178275916283,835615,late,F115W,jw05893012005_05101_00002_nrcb2_cal.fits,2.4981234763776277,-0.9986004343598177
